gene_id	WT_VLCO2_1	WT_VLCO2_0	WT_LoCO2_0	WT_LoCO2_1	WT_HiCO2_0	WT_HiCO2_1	cia5_VLCO2_0	cia5_VLCO2_1	cia5_LoCO2_0	cia5_LoCO2_1	cia5_HiCO2_0	cia5_HiCO2_1
Cre01.g050624	0.00162434	0.00160826	0.662053	0.00161765	0.739721	0.964684	0.00163402	0.346866	0.00405772	0.00160227	0.292861	0.340742
Cre01.g050650	2.91591	2.54189	2.4118	2.39215	3.24676	2.54708	2.20265	3.26892	2.41017	2.53714	2.74811	1.76396
Cre01.g050700	6.88765	0.713002	1.11068	9.66321	1.88924	9.54007	8.83216	10.2689	9.13967	8.48534	5.53932	7.21105
Cre01.g050750	2.6142	1.10029	0.653928	2.91327	0.755862	2.1218	1.29909	1.29585	1.36806	1.37386	1.09697	1.06136
Cre01.g050800	1.16317	0.692989	0.420264	1.79606	0.368379	1.32517	0.635261	0.932734	1.09998	0.733283	0.399489	0.504015
Cre01.g050850	50.7907	54.1084	55.9177	67.317	50.1583	59.0196	45.2098	42.9553	44.5938	44.8942	42.0485	51.6521
Cre01.g050900	4.38653	5.78504	6.61784	5.01431	4.6016	4.52976	6.1251	7.28389	6.5707	5.6718	5.08937	5.3503
Cre01.g050950	234.168	396.76	574.782	393.628	639.396	478.966	372.692	491.395	482.446	671.218	816.46	655.865
Cre01.g051000	9.65288	9.35177	9.32342	10.5746	15.4525	14.317	12.217	13.9817	19.1125	19.4801	21.9001	24.3689
Cre01.g051050	6.76034	4.37892	3.51001	7.52143	4.39079	5.899	8.40508	11.4134	7.82832	10.499	7.15346	4.48925
Cre01.g051100	14.5833	13.965	14.4002	11.6259	15.989	15.6204	12.7042	13.003	16.5686	14.6902	16.2473	17.5969
Cre01.g051137	0	0	0	0	0	0	0	0	0	0	0	0
Cre01.g051174	0.542881	0.424266	0.324194	0.35371	0.279312	0.20217	0.17426	0.36126	0.14593	0.404002	0.231607	0.181918
Cre01.g051211	0.0573464	0.219643	0.0310806	0.0538475	0	0.0249152	0.0563754	0.0198985	0.0290526	0.0697254	0	0
Cre01.g051250	37.2293	20.1197	20.7958	39.1132	19.1837	29.7254	28.7292	25.4646	22.208	26.6662	24.2219	20.8356
Cre01.g051300	4.24894	4.72131	5.43001	4.90092	8.53973	8.06784	5.67244	7.08014	5.20868	6.61152	7.22498	5.19496
Cre01.g051350	1.86466	4.24601	4.22267	1.67308	1.86279	1.65628	3.21818	3.71038	2.1413	2.55324	1.73336	2.80676
Cre01.g051400	25.5988	30.1477	31.3712	54.3881	24.4781	50.2325	44.1668	35.8609	36.0167	40.0072	45.2848	58.0552
Cre01.g051450	13.6929	16.0229	19.6047	22.5749	20.496	25.7928	16.5212	17.56	13.8138	11.5372	15.8398	20.4747
Cre01.g051466	0.0738331	0	0	0.0693283	0	0	0	0	0.0748168	0	0	0
Cre01.g051482	0	0	0.123151	0	0	0	0.111607	0	0	0	0	0
Cre01.g051500	557.157	793.59	1179.73	870.073	1657.29	1220.18	1061.31	1000.77	1102.33	1163.37	1227.23	1264.25
Cre01.g051550	4.5801	5.44948	5.68343	4.00459	4.67495	3.90772	4.3393	3.89168	3.5645	3.94037	2.94142	2.99729
Cre01.g051625	3.90378	2.69274	4.06439	5.20514	1.79843	4.27409	3.91483	2.60299	2.13614	2.85031	2.69971	2.48417
Cre01.g051700	5.29988	5.10221	4.43712	5.07908	4.12932	4.14707	5.25026	4.99363	4.10091	4.14276	3.59167	3.64419
Cre01.g051750	6.62453	4.67108	4.81405	6.92804	5.15024	5.99758	6.06332	6.94872	5.68632	5.49711	4.59721	3.84668
Cre01.g051800	9.3425	15.3663	14.8064	9.28389	4.68546	4.25925	6.58982	6.31048	5.64586	4.68739	3.92411	5.63252
Cre01.g051850	1.3591	0.298656	0.289793	0.899602	0.317519	1.54882	0.832308	0.463811	0.880419	0.812607	0.567125	0.617365
